Supermarket,Locality,Product_Name,Category,Date,Day_of_Week,Quantity_Sold,Price_per_kg,Discounted_Price,Holiday,Weather,Promotion
UrbanBite,Indiranagar,Tomatoes,Vegetable,12-02-2024,Monday,96,30 INR,15 INR,No,Clear,No
UrbanBite,Indiranagar,Apples,Fruit,12-02-2024,Monday,72,60 INR,60 INR,Yes,Rainy,Yes
UrbanBite,Indiranagar,Cabbage,Vegetable,12-02-2024,Monday,77,20 INR,20 INR,No,Rainy,Yes
UrbanBite,Indiranagar,Bananas,Fruit,12-02-2024,Monday,137,25 INR,25 INR,Yes,Rainy,Yes
UrbanBite,Indiranagar,Potatoes,Vegetable,12-02-2024,Monday,132,18 INR,3 INR,No,Rainy,Yes
UrbanBite,Indiranagar,Spinach,Leafy Green,12-02-2024,Monday,118,15 INR,0 INR,Yes,Clear,Yes
DailyGro,Indiranagar,Tomatoes,Vegetable,12-02-2024,Monday,67,30 INR,30 INR,No,Rainy,Yes
DailyGro,Indiranagar,Apples,Fruit,12-02-2024,Monday,90,60 INR,60 INR,Yes,Cloudy,No
DailyGro,Indiranagar,Cabbage,Vegetable,12-02-2024,Monday,136,20 INR,10 INR,Yes,Rainy,Yes
DailyGro,Indiranagar,Bananas,Fruit,12-02-2024,Monday,104,25 INR,10 INR,No,Clear,No
DailyGro,Indiranagar,Potatoes,Vegetable,12-02-2024,Monday,169,18 INR,18 INR,Yes,Rainy,No
DailyGro,Indiranagar,Spinach,Leafy Green,12-02-2024,Monday,111,15 INR,0 INR,Yes,Cloudy,No
CityVeg,Indiranagar,Tomatoes,Vegetable,12-02-2024,Monday,105,30 INR,25 INR,No,Rainy,Yes
CityVeg,Indiranagar,Apples,Fruit,12-02-2024,Monday,90,60 INR,60 INR,Yes,Rainy,Yes
CityVeg,Indiranagar,Cabbage,Vegetable,12-02-2024,Monday,104,20 INR,15 INR,Yes,Clear,No
CityVeg,Indiranagar,Bananas,Fruit,12-02-2024,Monday,95,25 INR,20 INR,Yes,Clear,No
CityVeg,Indiranagar,Potatoes,Vegetable,12-02-2024,Monday,121,18 INR,13 INR,Yes,Rainy,No
CityVeg,Indiranagar,Spinach,Leafy Green,12-02-2024,Monday,128,15 INR,5 INR,No,Clear,Yes
QuickKart,Indiranagar,Tomatoes,Vegetable,12-02-2024,Monday,76,30 INR,15 INR,Yes,Clear,Yes
QuickKart,Indiranagar,Apples,Fruit,12-02-2024,Monday,60,60 INR,50 INR,No,Rainy,Yes
QuickKart,Indiranagar,Cabbage,Vegetable,12-02-2024,Monday,44,20 INR,20 INR,No,Clear,No
QuickKart,Indiranagar,Bananas,Fruit,12-02-2024,Monday,115,25 INR,10 INR,No,Cloudy,No
QuickKart,Indiranagar,Potatoes,Vegetable,12-02-2024,Monday,66,18 INR,8 INR,No,Rainy,Yes
QuickKart,Indiranagar,Spinach,Leafy Green,12-02-2024,Monday,35,15 INR,5 INR,No,Clear,No
FreshMart,Indiranagar,Tomatoes,Vegetable,13-02-2024,Tuesday,111,30 INR,15 INR,Yes,Clear,No
FreshMart,Indiranagar,Apples,Fruit,13-02-2024,Tuesday,174,60 INR,60 INR,No,Rainy,No
FreshMart,Indiranagar,Cabbage,Vegetable,13-02-2024,Tuesday,99,20 INR,20 INR,No,Cloudy,No
FreshMart,Indiranagar,Bananas,Fruit,13-02-2024,Tuesday,125,25 INR,20 INR,Yes,Cloudy,No
FreshMart,Indiranagar,Potatoes,Vegetable,13-02-2024,Tuesday,102,18 INR,13 INR,No,Cloudy,No
FreshMart,Indiranagar,Spinach,Leafy Green,13-02-2024,Tuesday,97,15 INR,10 INR,No,Clear,Yes
UrbanBite,Indiranagar,Tomatoes,Vegetable,13-02-2024,Tuesday,127,30 INR,25 INR,Yes,Cloudy,No
UrbanBite,Indiranagar,Apples,Fruit,13-02-2024,Tuesday,91,60 INR,60 INR,Yes,Cloudy,Yes
UrbanBite,Indiranagar,Cabbage,Vegetable,13-02-2024,Tuesday,108,20 INR,15 INR,No,Rainy,Yes
UrbanBite,Indiranagar,Bananas,Fruit,13-02-2024,Tuesday,109,25 INR,10 INR,No,Rainy,Yes
UrbanBite,Indiranagar,Potatoes,Vegetable,13-02-2024,Tuesday,79,18 INR,13 INR,No,Cloudy,No
UrbanBite,Indiranagar,Spinach,Leafy Green,13-02-2024,Tuesday,129,15 INR,5 INR,No,Cloudy,No
DailyGro,Indiranagar,Tomatoes,Vegetable,13-02-2024,Tuesday,94,30 INR,15 INR,Yes,Cloudy,No
DailyGro,Indiranagar,Apples,Fruit,13-02-2024,Tuesday,77,60 INR,45 INR,Yes,Cloudy,No
DailyGro,Indiranagar,Cabbage,Vegetable,13-02-2024,Tuesday,116,20 INR,5 INR,No,Rainy,No
DailyGro,Indiranagar,Bananas,Fruit,13-02-2024,Tuesday,73,25 INR,25 INR,Yes,Cloudy,No
DailyGro,Indiranagar,Potatoes,Vegetable,13-02-2024,Tuesday,100,18 INR,13 INR,No,Rainy,No
DailyGro,Indiranagar,Spinach,Leafy Green,13-02-2024,Tuesday,99,15 INR,15 INR,No,Cloudy,Yes
CityVeg,Indiranagar,Tomatoes,Vegetable,13-02-2024,Tuesday,132,30 INR,15 INR,No,Cloudy,No
CityVeg,Indiranagar,Apples,Fruit,13-02-2024,Tuesday,114,60 INR,45 INR,Yes,Rainy,No
CityVeg,Indiranagar,Cabbage,Vegetable,13-02-2024,Tuesday,99,20 INR,10 INR,No,Cloudy,No
CityVeg,Indiranagar,Bananas,Fruit,13-02-2024,Tuesday,124,25 INR,15 INR,No,Cloudy,No
CityVeg,Indiranagar,Potatoes,Vegetable,13-02-2024,Tuesday,141,18 INR,8 INR,No,Clear,Yes
CityVeg,Indiranagar,Spinach,Leafy Green,13-02-2024,Tuesday,116,15 INR,15 INR,No,Cloudy,No
QuickKart,Indiranagar,Tomatoes,Vegetable,13-02-2024,Tuesday,100,30 INR,25 INR,No,Cloudy,Yes
QuickKart,Indiranagar,Apples,Fruit,13-02-2024,Tuesday,60,60 INR,55 INR,Yes,Clear,Yes
QuickKart,Indiranagar,Cabbage,Vegetable,13-02-2024,Tuesday,68,20 INR,15 INR,No,Cloudy,No
QuickKart,Indiranagar,Bananas,Fruit,13-02-2024,Tuesday,90,25 INR,15 INR,Yes,Cloudy,No
QuickKart,Indiranagar,Potatoes,Vegetable,13-02-2024,Tuesday,81,18 INR,8 INR,No,Rainy,Yes
QuickKart,Indiranagar,Spinach,Leafy Green,13-02-2024,Tuesday,94,15 INR,15 INR,No,Cloudy,No
FreshMart,Indiranagar,Tomatoes,Vegetable,14-02-2024,Wednesday,101,30 INR,20 INR,Yes,Rainy,No
FreshMart,Indiranagar,Apples,Fruit,14-02-2024,Wednesday,115,60 INR,55 INR,No,Clear,Yes
FreshMart,Indiranagar,Cabbage,Vegetable,14-02-2024,Wednesday,97,20 INR,20 INR,No,Cloudy,Yes
FreshMart,Indiranagar,Bananas,Fruit,14-02-2024,Wednesday,114,25 INR,15 INR,Yes,Cloudy,Yes
FreshMart,Indiranagar,Potatoes,Vegetable,14-02-2024,Wednesday,101,18 INR,8 INR,No,Clear,Yes
FreshMart,Indiranagar,Spinach,Leafy Green,14-02-2024,Wednesday,40,15 INR,0 INR,No,Cloudy,No
UrbanBite,Indiranagar,Tomatoes,Vegetable,14-02-2024,Wednesday,71,30 INR,15 INR,No,Clear,No
UrbanBite,Indiranagar,Apples,Fruit,14-02-2024,Wednesday,95,60 INR,55 INR,No,Cloudy,Yes
UrbanBite,Indiranagar,Cabbage,Vegetable,14-02-2024,Wednesday,63,20 INR,20 INR,No,Cloudy,No
UrbanBite,Indiranagar,Bananas,Fruit,14-02-2024,Wednesday,117,25 INR,10 INR,Yes,Cloudy,No
UrbanBite,Indiranagar,Potatoes,Vegetable,14-02-2024,Wednesday,145,18 INR,3 INR,No,Cloudy,No
UrbanBite,Indiranagar,Spinach,Leafy Green,14-02-2024,Wednesday,136,15 INR,0 INR,No,Rainy,Yes
DailyGro,Indiranagar,Tomatoes,Vegetable,14-02-2024,Wednesday,93,30 INR,30 INR,No,Clear,Yes
DailyGro,Indiranagar,Apples,Fruit,14-02-2024,Wednesday,144,60 INR,60 INR,Yes,Cloudy,Yes
DailyGro,Indiranagar,Cabbage,Vegetable,14-02-2024,Wednesday,104,20 INR,20 INR,Yes,Cloudy,No
DailyGro,Indiranagar,Bananas,Fruit,14-02-2024,Wednesday,89,25 INR,20 INR,No,Rainy,Yes
DailyGro,Indiranagar,Potatoes,Vegetable,14-02-2024,Wednesday,81,18 INR,3 INR,Yes,Rainy,No
DailyGro,Indiranagar,Spinach,Leafy Green,14-02-2024,Wednesday,90,15 INR,10 INR,Yes,Cloudy,No
CityVeg,Indiranagar,Tomatoes,Vegetable,14-02-2024,Wednesday,88,30 INR,15 INR,Yes,Rainy,No
CityVeg,Indiranagar,Apples,Fruit,14-02-2024,Wednesday,105,60 INR,60 INR,Yes,Cloudy,Yes
CityVeg,Indiranagar,Cabbage,Vegetable,14-02-2024,Wednesday,104,20 INR,15 INR,Yes,Cloudy,No
CityVeg,Indiranagar,Bananas,Fruit,14-02-2024,Wednesday,100,25 INR,15 INR,Yes,Cloudy,No
CityVeg,Indiranagar,Potatoes,Vegetable,14-02-2024,Wednesday,113,18 INR,8 INR,Yes,Rainy,Yes
CityVeg,Indiranagar,Spinach,Leafy Green,14-02-2024,Wednesday,135,15 INR,0 INR,No,Rainy,No
QuickKart,Indiranagar,Tomatoes,Vegetable,14-02-2024,Wednesday,128,30 INR,25 INR,Yes,Cloudy,No
QuickKart,Indiranagar,Apples,Fruit,14-02-2024,Wednesday,55,60 INR,60 INR,Yes,Clear,No
QuickKart,Indiranagar,Cabbage,Vegetable,14-02-2024,Wednesday,23,20 INR,15 INR,Yes,Cloudy,No
QuickKart,Indiranagar,Bananas,Fruit,14-02-2024,Wednesday,128,25 INR,25 INR,Yes,Cloudy,Yes
QuickKart,Indiranagar,Potatoes,Vegetable,14-02-2024,Wednesday,58,18 INR,3 INR,Yes,Clear,Yes
QuickKart,Indiranagar,Spinach,Leafy Green,14-02-2024,Wednesday,93,15 INR,15 INR,Yes,Cloudy,Yes
FreshMart,Indiranagar,Tomatoes,Vegetable,15-02-2024,Thursday,64,30 INR,20 INR,No,Clear,No
FreshMart,Indiranagar,Apples,Fruit,15-02-2024,Thursday,45,60 INR,55 INR,Yes,Rainy,Yes
FreshMart,Indiranagar,Cabbage,Vegetable,15-02-2024,Thursday,116,20 INR,5 INR,Yes,Cloudy,Yes
FreshMart,Indiranagar,Bananas,Fruit,15-02-2024,Thursday,122,25 INR,15 INR,No,Rainy,Yes
FreshMart,Indiranagar,Potatoes,Vegetable,15-02-2024,Thursday,82,18 INR,8 INR,Yes,Rainy,Yes
FreshMart,Indiranagar,Spinach,Leafy Green,15-02-2024,Thursday,22,15 INR,5 INR,Yes,Cloudy,No
UrbanBite,Indiranagar,Tomatoes,Vegetable,15-02-2024,Thursday,83,30 INR,15 INR,No,Cloudy,No
UrbanBite,Indiranagar,Apples,Fruit,15-02-2024,Thursday,111,60 INR,55 INR,No,Rainy,Yes
UrbanBite,Indiranagar,Cabbage,Vegetable,15-02-2024,Thursday,55,20 INR,10 INR,No,Cloudy,No
UrbanBite,Indiranagar,Bananas,Fruit,15-02-2024,Thursday,105,25 INR,15 INR,No,Cloudy,No
UrbanBite,Indiranagar,Potatoes,Vegetable,15-02-2024,Thursday,99,18 INR,18 INR,No,Cloudy,Yes
UrbanBite,Indiranagar,Spinach,Leafy Green,15-02-2024,Thursday,117,15 INR,5 INR,Yes,Rainy,No
DailyGro,Indiranagar,Tomatoes,Vegetable,15-02-2024,Thursday,103,30 INR,15 INR,Yes,Clear,No
DailyGro,Indiranagar,Apples,Fruit,15-02-2024,Thursday,70,60 INR,55 INR,No,Clear,No
DailyGro,Indiranagar,Cabbage,Vegetable,15-02-2024,Thursday,135,20 INR,15 INR,Yes,Clear,No
DailyGro,Indiranagar,Bananas,Fruit,15-02-2024,Thursday,95,25 INR,10 INR,Yes,Cloudy,No
DailyGro,Indiranagar,Potatoes,Vegetable,15-02-2024,Thursday,99,18 INR,8 INR,Yes,Clear,No
DailyGro,Indiranagar,Spinach,Leafy Green,15-02-2024,Thursday,72,15 INR,5 INR,Yes,Rainy,No
CityVeg,Indiranagar,Tomatoes,Vegetable,15-02-2024,Thursday,86,30 INR,15 INR,No,Clear,No
CityVeg,Indiranagar,Apples,Fruit,15-02-2024,Thursday,73,60 INR,55 INR,No,Cloudy,Yes
CityVeg,Indiranagar,Cabbage,Vegetable,15-02-2024,Thursday,94,20 INR,15 INR,No,Cloudy,Yes
CityVeg,Indiranagar,Bananas,Fruit,15-02-2024,Thursday,151,25 INR,15 INR,Yes,Clear,Yes
CityVeg,Indiranagar,Potatoes,Vegetable,15-02-2024,Thursday,58,18 INR,3 INR,No,Clear,No
CityVeg,Indiranagar,Spinach,Leafy Green,15-02-2024,Thursday,51,15 INR,10 INR,Yes,Rainy,No
QuickKart,Indiranagar,Tomatoes,Vegetable,15-02-2024,Thursday,144,30 INR,20 INR,No,Clear,Yes
QuickKart,Indiranagar,Apples,Fruit,15-02-2024,Thursday,93,60 INR,60 INR,No,Cloudy,Yes
QuickKart,Indiranagar,Cabbage,Vegetable,15-02-2024,Thursday,79,20 INR,5 INR,No,Clear,Yes
QuickKart,Indiranagar,Bananas,Fruit,15-02-2024,Thursday,131,25 INR,15 INR,No,Cloudy,Yes
QuickKart,Indiranagar,Potatoes,Vegetable,15-02-2024,Thursday,81,18 INR,13 INR,Yes,Cloudy,No
QuickKart,Indiranagar,Spinach,Leafy Green,15-02-2024,Thursday,154,15 INR,10 INR,Yes,Clear,No
FreshMart,Indiranagar,Tomatoes,Vegetable,16-02-2024,Friday,120,30 INR,15 INR,Yes,Rainy,Yes
FreshMart,Indiranagar,Apples,Fruit,16-02-2024,Friday,85,60 INR,45 INR,Yes,Rainy,Yes
FreshMart,Indiranagar,Cabbage,Vegetable,16-02-2024,Friday,164,20 INR,15 INR,Yes,Cloudy,Yes
FreshMart,Indiranagar,Bananas,Fruit,16-02-2024,Friday,81,25 INR,10 INR,No,Cloudy,No
FreshMart,Indiranagar,Potatoes,Vegetable,16-02-2024,Friday,122,18 INR,3 INR,No,Clear,Yes
FreshMart,Indiranagar,Spinach,Leafy Green,16-02-2024,Friday,108,15 INR,10 INR,Yes,Rainy,No
UrbanBite,Indiranagar,Tomatoes,Vegetable,16-02-2024,Friday,139,30 INR,30 INR,Yes,Cloudy,Yes
UrbanBite,Indiranagar,Apples,Fruit,16-02-2024,Friday,146,60 INR,45 INR,No,Cloudy,Yes
UrbanBite,Indiranagar,Cabbage,Vegetable,16-02-2024,Friday,100,20 INR,15 INR,Yes,Cloudy,Yes
UrbanBite,Indiranagar,Bananas,Fruit,16-02-2024,Friday,77,25 INR,25 INR,No,Cloudy,Yes
UrbanBite,Indiranagar,Potatoes,Vegetable,16-02-2024,Friday,113,18 INR,3 INR,No,Cloudy,No
UrbanBite,Indiranagar,Spinach,Leafy Green,16-02-2024,Friday,79,15 INR,10 INR,No,Rainy,Yes
DailyGro,Indiranagar,Tomatoes,Vegetable,16-02-2024,Friday,160,30 INR,20 INR,No,Cloudy,No
DailyGro,Indiranagar,Apples,Fruit,16-02-2024,Friday,104,60 INR,55 INR,No,Cloudy,No
DailyGro,Indiranagar,Cabbage,Vegetable,16-02-2024,Friday,89,20 INR,15 INR,No,Rainy,No
DailyGro,Indiranagar,Bananas,Fruit,16-02-2024,Friday,105,25 INR,20 INR,No,Clear,No
DailyGro,Indiranagar,Potatoes,Vegetable,16-02-2024,Friday,59,18 INR,13 INR,No,Cloudy,No
DailyGro,Indiranagar,Spinach,Leafy Green,16-02-2024,Friday,70,15 INR,0 INR,Yes,Rainy,No
CityVeg,Indiranagar,Tomatoes,Vegetable,16-02-2024,Friday,136,30 INR,15 INR,No,Rainy,Yes
CityVeg,Indiranagar,Apples,Fruit,16-02-2024,Friday,80,60 INR,45 INR,No,Clear,No
CityVeg,Indiranagar,Cabbage,Vegetable,16-02-2024,Friday,68,20 INR,10 INR,Yes,Rainy,No
CityVeg,Indiranagar,Bananas,Fruit,16-02-2024,Friday,116,25 INR,10 INR,Yes,Cloudy,Yes
CityVeg,Indiranagar,Potatoes,Vegetable,16-02-2024,Friday,135,18 INR,8 INR,No,Rainy,Yes
CityVeg,Indiranagar,Spinach,Leafy Green,16-02-2024,Friday,121,15 INR,0 INR,No,Rainy,No
QuickKart,Indiranagar,Tomatoes,Vegetable,16-02-2024,Friday,129,30 INR,25 INR,No,Clear,No
QuickKart,Indiranagar,Apples,Fruit,16-02-2024,Friday,77,60 INR,50 INR,No,Rainy,Yes
QuickKart,Indiranagar,Cabbage,Vegetable,16-02-2024,Friday,57,20 INR,15 INR,No,Cloudy,Yes
QuickKart,Indiranagar,Bananas,Fruit,16-02-2024,Friday,145,25 INR,15 INR,No,Clear,Yes
QuickKart,Indiranagar,Potatoes,Vegetable,16-02-2024,Friday,90,18 INR,18 INR,No,Clear,Yes
QuickKart,Indiranagar,Spinach,Leafy Green,16-02-2024,Friday,92,15 INR,0 INR,No,Clear,Yes
FreshMart,Indiranagar,Tomatoes,Vegetable,17-02-2024,Saturday,139,30 INR,15 INR,Yes,Rainy,No
FreshMart,Indiranagar,Apples,Fruit,17-02-2024,Saturday,116,60 INR,50 INR,Yes,Clear,No
FreshMart,Indiranagar,Cabbage,Vegetable,17-02-2024,Saturday,113,20 INR,10 INR,No,Cloudy,No
FreshMart,Indiranagar,Bananas,Fruit,17-02-2024,Saturday,164,25 INR,15 INR,No,Rainy,Yes
FreshMart,Indiranagar,Potatoes,Vegetable,17-02-2024,Saturday,80,18 INR,3 INR,No,Cloudy,No
FreshMart,Indiranagar,Spinach,Leafy Green,17-02-2024,Saturday,127,15 INR,5 INR,Yes,Rainy,No
UrbanBite,Indiranagar,Tomatoes,Vegetable,17-02-2024,Saturday,101,30 INR,25 INR,Yes,Cloudy,No
UrbanBite,Indiranagar,Apples,Fruit,17-02-2024,Saturday,108,60 INR,60 INR,No,Clear,No
UrbanBite,Indiranagar,Cabbage,Vegetable,17-02-2024,Saturday,145,20 INR,15 INR,No,Cloudy,No
UrbanBite,Indiranagar,Bananas,Fruit,17-02-2024,Saturday,115,25 INR,20 INR,Yes,Clear,Yes
UrbanBite,Indiranagar,Potatoes,Vegetable,17-02-2024,Saturday,116,18 INR,13 INR,No,Rainy,Yes
UrbanBite,Indiranagar,Spinach,Leafy Green,17-02-2024,Saturday,132,15 INR,15 INR,Yes,Cloudy,No
DailyGro,Indiranagar,Tomatoes,Vegetable,17-02-2024,Saturday,89,30 INR,30 INR,Yes,Cloudy,No
DailyGro,Indiranagar,Apples,Fruit,17-02-2024,Saturday,74,60 INR,45 INR,No,Clear,No
DailyGro,Indiranagar,Cabbage,Vegetable,17-02-2024,Saturday,68,20 INR,20 INR,Yes,Rainy,No
DailyGro,Indiranagar,Bananas,Fruit,17-02-2024,Saturday,41,25 INR,10 INR,No,Cloudy,No
DailyGro,Indiranagar,Potatoes,Vegetable,17-02-2024,Saturday,161,18 INR,13 INR,No,Clear,No
DailyGro,Indiranagar,Spinach,Leafy Green,17-02-2024,Saturday,66,15 INR,15 INR,Yes,Rainy,No
CityVeg,Indiranagar,Tomatoes,Vegetable,17-02-2024,Saturday,93,30 INR,20 INR,No,Cloudy,No
CityVeg,Indiranagar,Apples,Fruit,17-02-2024,Saturday,91,60 INR,50 INR,No,Cloudy,Yes
CityVeg,Indiranagar,Cabbage,Vegetable,17-02-2024,Saturday,109,20 INR,5 INR,No,Cloudy,Yes
CityVeg,Indiranagar,Bananas,Fruit,17-02-2024,Saturday,124,25 INR,15 INR,No,Rainy,Yes
CityVeg,Indiranagar,Potatoes,Vegetable,17-02-2024,Saturday,125,18 INR,13 INR,No,Clear,No
CityVeg,Indiranagar,Spinach,Leafy Green,17-02-2024,Saturday,82,15 INR,0 INR,No,Cloudy,No
QuickKart,Indiranagar,Tomatoes,Vegetable,17-02-2024,Saturday,94,30 INR,25 INR,No,Rainy,Yes
QuickKart,Indiranagar,Apples,Fruit,17-02-2024,Saturday,108,60 INR,45 INR,No,Rainy,Yes
QuickKart,Indiranagar,Cabbage,Vegetable,17-02-2024,Saturday,92,20 INR,15 INR,Yes,Cloudy,Yes
QuickKart,Indiranagar,Bananas,Fruit,17-02-2024,Saturday,148,25 INR,10 INR,No,Cloudy,Yes
QuickKart,Indiranagar,Potatoes,Vegetable,17-02-2024,Saturday,114,18 INR,3 INR,Yes,Clear,Yes
QuickKart,Indiranagar,Spinach,Leafy Green,17-02-2024,Saturday,122,15 INR,0 INR,Yes,Rainy,Yes
FreshMart,Indiranagar,Tomatoes,Vegetable,18-02-2024,Sunday,119,30 INR,25 INR,Yes,Cloudy,Yes
FreshMart,Indiranagar,Apples,Fruit,18-02-2024,Sunday,135,60 INR,50 INR,No,Rainy,Yes
FreshMart,Indiranagar,Cabbage,Vegetable,18-02-2024,Sunday,105,20 INR,15 INR,No,Rainy,No
FreshMart,Indiranagar,Bananas,Fruit,18-02-2024,Sunday,61,25 INR,15 INR,No,Cloudy,Yes
FreshMart,Indiranagar,Potatoes,Vegetable,18-02-2024,Sunday,111,18 INR,8 INR,Yes,Rainy,No
FreshMart,Indiranagar,Spinach,Leafy Green,18-02-2024,Sunday,80,15 INR,5 INR,Yes,Clear,Yes
UrbanBite,Indiranagar,Tomatoes,Vegetable,18-02-2024,Sunday,84,30 INR,20 INR,Yes,Cloudy,No
UrbanBite,Indiranagar,Apples,Fruit,18-02-2024,Sunday,117,60 INR,60 INR,Yes,Cloudy,Yes
UrbanBite,Indiranagar,Cabbage,Vegetable,18-02-2024,Sunday,137,20 INR,15 INR,No,Clear,Yes
UrbanBite,Indiranagar,Bananas,Fruit,18-02-2024,Sunday,100,25 INR,25 INR,No,Rainy,Yes
UrbanBite,Indiranagar,Potatoes,Vegetable,18-02-2024,Sunday,109,18 INR,13 INR,No,Clear,Yes
UrbanBite,Indiranagar,Spinach,Leafy Green,18-02-2024,Sunday,151,15 INR,15 INR,Yes,Rainy,No
DailyGro,Indiranagar,Tomatoes,Vegetable,18-02-2024,Sunday,107,30 INR,25 INR,Yes,Clear,No
DailyGro,Indiranagar,Apples,Fruit,18-02-2024,Sunday,178,60 INR,55 INR,Yes,Cloudy,No
DailyGro,Indiranagar,Cabbage,Vegetable,18-02-2024,Sunday,116,20 INR,15 INR,No,Clear,No
DailyGro,Indiranagar,Bananas,Fruit,18-02-2024,Sunday,47,25 INR,10 INR,No,Clear,No
DailyGro,Indiranagar,Potatoes,Vegetable,18-02-2024,Sunday,122,18 INR,3 INR,Yes,Clear,Yes
DailyGro,Indiranagar,Spinach,Leafy Green,18-02-2024,Sunday,111,15 INR,0 INR,Yes,Cloudy,Yes
CityVeg,Indiranagar,Tomatoes,Vegetable,18-02-2024,Sunday,138,30 INR,25 INR,Yes,Clear,Yes
CityVeg,Indiranagar,Apples,Fruit,18-02-2024,Sunday,120,60 INR,45 INR,Yes,Clear,No
CityVeg,Indiranagar,Cabbage,Vegetable,18-02-2024,Sunday,95,20 INR,5 INR,Yes,Clear,No
CityVeg,Indiranagar,Bananas,Fruit,18-02-2024,Sunday,63,25 INR,10 INR,Yes,Cloudy,No
CityVeg,Indiranagar,Potatoes,Vegetable,18-02-2024,Sunday,93,18 INR,3 INR,Yes,Rainy,Yes
CityVeg,Indiranagar,Spinach,Leafy Green,18-02-2024,Sunday,74,15 INR,10 INR,No,Cloudy,Yes
QuickKart,Indiranagar,Tomatoes,Vegetable,18-02-2024,Sunday,82,30 INR,15 INR,Yes,Clear,No
QuickKart,Indiranagar,Apples,Fruit,18-02-2024,Sunday,117,60 INR,60 INR,Yes,Rainy,No
QuickKart,Indiranagar,Cabbage,Vegetable,18-02-2024,Sunday,150,20 INR,10 INR,No,Cloudy,Yes
QuickKart,Indiranagar,Bananas,Fruit,18-02-2024,Sunday,111,25 INR,25 INR,No,Rainy,No
QuickKart,Indiranagar,Potatoes,Vegetable,18-02-2024,Sunday,64,18 INR,18 INR,No,Rainy,Yes
QuickKart,Indiranagar,Spinach,Leafy Green,18-02-2024,Sunday,113,15 INR,15 INR,No,Clear,Yes
FreshMart,Indiranagar,Tomatoes,Vegetable,19-02-2024,Monday,135,30 INR,30 INR,Yes,Rainy,Yes
FreshMart,Indiranagar,Apples,Fruit,19-02-2024,Monday,81,60 INR,50 INR,No,Cloudy,Yes
FreshMart,Indiranagar,Cabbage,Vegetable,19-02-2024,Monday,95,20 INR,15 INR,Yes,Clear,No
FreshMart,Indiranagar,Bananas,Fruit,19-02-2024,Monday,100,25 INR,15 INR,Yes,Clear,Yes
FreshMart,Indiranagar,Potatoes,Vegetable,19-02-2024,Monday,76,18 INR,3 INR,No,Cloudy,No
FreshMart,Indiranagar,Spinach,Leafy Green,19-02-2024,Monday,119,15 INR,10 INR,Yes,Clear,No
UrbanBite,Indiranagar,Tomatoes,Vegetable,19-02-2024,Monday,96,30 INR,15 INR,Yes,Rainy,No
UrbanBite,Indiranagar,Apples,Fruit,19-02-2024,Monday,112,60 INR,55 INR,Yes,Clear,Yes
UrbanBite,Indiranagar,Cabbage,Vegetable,19-02-2024,Monday,73,20 INR,10 INR,No,Clear,No
UrbanBite,Indiranagar,Bananas,Fruit,19-02-2024,Monday,86,25 INR,25 INR,No,Cloudy,Yes
UrbanBite,Indiranagar,Potatoes,Vegetable,19-02-2024,Monday,121,18 INR,18 INR,Yes,Rainy,Yes
UrbanBite,Indiranagar,Spinach,Leafy Green,19-02-2024,Monday,88,15 INR,10 INR,Yes,Clear,No
DailyGro,Indiranagar,Tomatoes,Vegetable,19-02-2024,Monday,151,30 INR,30 INR,Yes,Clear,No
DailyGro,Indiranagar,Apples,Fruit,19-02-2024,Monday,88,60 INR,45 INR,No,Clear,Yes
DailyGro,Indiranagar,Cabbage,Vegetable,19-02-2024,Monday,106,20 INR,5 INR,No,Clear,Yes
DailyGro,Indiranagar,Bananas,Fruit,19-02-2024,Monday,127,25 INR,15 INR,No,Clear,Yes
DailyGro,Indiranagar,Potatoes,Vegetable,19-02-2024,Monday,57,18 INR,18 INR,No,Cloudy,No
DailyGro,Indiranagar,Spinach,Leafy Green,19-02-2024,Monday,47,15 INR,10 INR,Yes,Cloudy,Yes
CityVeg,Indiranagar,Tomatoes,Vegetable,19-02-2024,Monday,54,30 INR,25 INR,Yes,Cloudy,No
CityVeg,Indiranagar,Apples,Fruit,19-02-2024,Monday,137,60 INR,60 INR,No,Rainy,No
CityVeg,Indiranagar,Cabbage,Vegetable,19-02-2024,Monday,83,20 INR,5 INR,No,Rainy,No
CityVeg,Indiranagar,Bananas,Fruit,19-02-2024,Monday,176,25 INR,25 INR,Yes,Cloudy,No
CityVeg,Indiranagar,Potatoes,Vegetable,19-02-2024,Monday,83,18 INR,13 INR,Yes,Clear,Yes
CityVeg,Indiranagar,Spinach,Leafy Green,19-02-2024,Monday,105,15 INR,15 INR,No,Clear,No
QuickKart,Indiranagar,Tomatoes,Vegetable,19-02-2024,Monday,146,30 INR,20 INR,No,Cloudy,Yes
QuickKart,Indiranagar,Apples,Fruit,19-02-2024,Monday,160,60 INR,60 INR,Yes,Rainy,Yes
QuickKart,Indiranagar,Cabbage,Vegetable,19-02-2024,Monday,161,20 INR,5 INR,No,Clear,No
QuickKart,Indiranagar,Bananas,Fruit,19-02-2024,Monday,136,25 INR,20 INR,Yes,Rainy,No
QuickKart,Indiranagar,Potatoes,Vegetable,19-02-2024,Monday,130,18 INR,18 INR,No,Cloudy,Yes
QuickKart,Indiranagar,Spinach,Leafy Green,19-02-2024,Monday,117,15 INR,10 INR,No,Clear,Yes
